Team,Points,AvgPoints,NumOfRider
BRC,46.0,46.0,1
Chichester City Riders,55.0,55.0,1
Clapham Chasers,736.0,38.73684210526316,19
Cranleigh Cycling Club,552.5,25.113636363636363,22
Crawley wheelers,82.5,20.625,4
East Grinstead CC,89.5,29.833333333333332,3
Farnborough & Camberley Cycling,70.0,17.5,4
GS Mossa,20.5,20.5,1
Handsling Racing,67.0,33.5,2
Horsham Cycling Club,217.5,19.772727272727273,11
Hythe Cycling Club,7.0,7.0,1
Kingston Wheelers,51.0,25.5,2
L'Equipe Cyclopaths,119.0,29.75,4
Lee Velo,24.5,24.5,1
London Dynamo,842.5,42.125,20
Maison Du Velo |In Gear,436.0,27.25,16
Medway Velo Club,76.5,38.25,2
Njinga Cycling,272.5,30.27777777777778,9
Penge Cycle Club,179.0,35.8,5
Quick Release Cycling Club,190.5,27.214285714285715,7
Southborough District Wheelers,768.0,33.391304347826086,23
Team VCGH,309.5,38.6875,8
TeamTFC,100.0,100.0,1
Tri Surrey,95.5,23.875,4
Watford Velo Sport,12.5,12.5,1
Wigmore CC,34.5,17.25,2
ZC Team Ireland,201.0,40.2,5
