1,A,Glenn Utteridge ,TeamTFC,100
2,A,Jon Hughes ,Team VCGH,95
3,A,Lee Davies ,London Dynamo,90
4,A,Christian Moxon,Clapham Chasers,85
5,A,Stefan Klincewicz ,ZC Team Ireland,80
6,A,Rory Barrett ,Southborough District Wheelers,75
7,A,Jamie Pullen ,Maison Du Velo |In Gear,70
8,A,Richard Mathie ,Penge Cycle Club,65
9,A,Keith Henderson ,Southborough District Wheelers,60
10,A,Matt Porter-James |BCSE\CCR|,Chichester City Riders,55
11,A,Dan Wilkinson ,Cranleigh Cycling Club,50
12,A,JP L ,London Dynamo,49
13,A,Michael Amos [CChasers/BSCE],Clapham Chasers,48
14,A,Joe 'Flat Cap' Spraggins,Clapham Chasers,47
15,A,Nathan RB ,Southborough District Wheelers,46
16,A,Extra Ginge ,Clapham Chasers,45
17,A,James Oliver ,Njinga Cycling,44
18,A,Steve Weekley [CChasers/BCSE],Clapham Chasers,43
19,A,Nicholas Rowe ,Maison Du Velo |In Gear,42
20,A,Rob Burdon ,Southborough District Wheelers,41
21,A,David Bagge ,Southborough District Wheelers,40
22,A,David Harry ,Cranleigh Cycling Club,39
23,A,Dominic Wilson ,Kingston Wheelers,38
24,A,Tim Griffiths ,Penge Cycle Club,37
25,A,Tim Greenhalgh ,Njinga Cycling,36
26,A,Elliot Brown ,Team VCGH,35
27,A,James Green [CChasers/BCSE],Clapham Chasers,34
28,A,James Harvey ,L'Equipe Cyclopaths,33
29,A,Emrys Haugen [CChasers/BCSE],Clapham Chasers,32
30,A,Hamish Crerar ,London Dynamo,31
31,A,Dazzler Roberts ,Farnborough & Camberley Cycling,30
32,A,Nick Barratt ,Maison Du Velo |In Gear,29
33,A,Peter Golding ,Cranleigh Cycling Club,28
34,A,Jonathan Sliney ,L'Equipe Cyclopaths,27
35,A,John Richardson ,Cranleigh Cycling Club,26
36,A,Ben Mullard ,Maison Du Velo |In Gear,25
37,A,Jeremy Morton ,Cranleigh Cycling Club,24
38,A,Chris Pope ,East Grinstead CC,23
39,A,P Horta-Hopkins HSR ,Handsling Racing,22
40,A,Stephen Forbes ,Cranleigh Cycling Club,21
41,A,Ben Crick EGCC/BCSE,East Grinstead CC,20
42,A,Richard Pendlebury ,Horsham Cycling Club,19
